CUSTOMERID,GEOGRAPHY,GENDER,AGE,TENURE,BALANCE,NUMOFPRODUCTS,HASCRCARD,ISACTIVEMEMBER,ESTIMATEDSALARY,EXITED,TRANSACTIONTIMESTAMP,DEBTTOINCOME,PREDICTED_CHURN,CREDITSCORE
1,France,Female,21,5,0,1,1,1,171541.25,1,1/29/25 13:03,52,9999,352
2,Italy,Female,38,10,0,4,1,1,132202.74,0,1/11/25 2:32,81,9999,685
3,Italy,Male,27,0,130072.29,2,0,0,12244.96,1,1/12/25 17:21,70,9999,598
4,Germany,Male,22,10,130072.29,1,1,1,39750.42,0,1/6/25 11:08,63,9999,520
5,France,Male,23,6,130072.29,4,1,0,74912.18,1,1/22/25 19:40,57,9999,356
6,France,Female,88,10,0,1,1,0,81714.12,1,1/24/25 12:30,56,9999,321
7,Germany,Female,63,0,0,1,1,1,175239.4,1,1/11/25 17:55,108,9999,438
8,Germany,Female,69,4,0,3,1,0,181589.24,1,1/29/25 18:00,51,9999,270
9,Germany,Female,26,8,0,1,1,1,115376.33,1,1/16/25 21:28,118,9999,352
10,Italy,Male,29,9,130072.29,1,0,0,97856.09,1,1/29/25 6:58,93,9999,371
11,Germany,Female,24,10,0,3,1,0,48386.67,1,1/29/25 22:22,115,9999,464
12,Spain,Female,19,9,0,1,1,1,15030.64,1,1/7/25 19:44,67,9999,580
13,Italy,Female,25,8,0,3,0,1,148409.13,1,1/10/25 6:32,65,9999,337
14,France,Male,29,0,0,4,0,0,90262.76,1,1/13/25 15:15,61,9999,622
15,Italy,Female,23,5,130072.29,3,0,1,121799.62,1,1/10/25 6:26,109,9999,349
16,Spain,Female,63,2,130072.29,4,0,0,225705.85,1,1/11/25 22:33,103,9999,609
17,Italy,Female,20,8,130072.29,3,1,0,168583.2,0,1/28/25 19:05,89,9999,401
18,France,Male,24,2,0,4,0,1,195798.16,1,1/3/25 9:17,92,9999,380
19,Italy,Female,20,1,130072.29,1,0,1,49076.44,0,2/3/25 23:24,71,9999,399
20,Germany,Male,25,7,0,4,1,0,5382.77,0,1/25/25 10:57,53,9999,558
21,Italy,Male,18,2,130072.29,4,0,0,38151.88,1,1/19/25 18:46,70,9999,507
22,Italy,Female,23,4,130072.29,2,1,0,193180.13,1,1/11/25 10:15,72,9999,593
23,Italy,Male,25,5,0,4,1,1,113738.71,1,1/1/25 5:34,91,9999,663
24,Spain,Female,26,9,130072.29,1,1,0,57407.8,1,1/25/25 6:11,90,9999,543
25,Italy,Male,28,9,0,2,0,0,240659.16,1,1/3/25 12:13,65,9999,635
26,Italy,Male,23,0,0,2,1,0,124243.41,1,1/25/25 1:53,85,9999,441
27,Germany,Female,27,6,0,3,0,1,95391.99,1,1/25/25 4:03,66,9999,693
28,France,Female,27,10,130072.29,4,0,1,244401.57,1,1/15/25 6:05,103,9999,526
29,Spain,Male,23,6,130072.29,3,0,1,37728,0,1/26/25 1:56,56,9999,410
30,Italy,Male,59,4,130072.29,3,1,0,151889.86,1,1/28/25 23:47,90,9999,563
31,France,Male,28,8,0,4,0,0,188507.92,1,1/10/25 19:14,111,9999,271
32,Italy,Male,24,10,0,3,0,1,235487.5,1,1/14/25 11:37,106,9999,502
33,Italy,Female,84,1,130072.29,1,0,0,209330.09,1,2/2/25 13:45,82,9999,485
34,France,Male,62,4,0,1,0,0,75905.39,1,1/9/25 10:03,75,9999,594
35,France,Male,92,1,0,4,1,0,68797.95,0,1/20/25 20:11,73,9999,298
36,Germany,Female,30,1,0,4,0,1,28929.56,1,1/3/25 5:24,80,9999,308
37,Italy,Male,25,10,0,2,1,1,46017.9,0,1/12/25 15:19,76,9999,419
38,Italy,Female,23,8,0,4,0,0,183870.91,1,1/31/25 12:51,98,9999,437
39,Italy,Female,30,6,0,4,1,1,75865.72,1,1/26/25 11:02,115,9999,520
40,Spain,Female,91,3,130072.29,1,1,1,113260.1,1,1/11/25 8:46,119,9999,439
41,Italy,Male,29,10,130072.29,1,1,1,174128.71,0,1/10/25 22:18,80,9999,695
42,Italy,Female,70,7,130072.29,4,0,1,167912.9,0,1/16/25 9:26,74,9999,424
43,Italy,Female,24,10,0,2,1,0,199323.54,1,1/4/25 13:14,65,9999,695
44,France,Female,25,10,130072.29,1,0,0,19286.65,1,1/25/25 15:29,55,9999,300
45,Italy,Male,75,3,0,1,1,0,145169.93,1,1/6/25 4:45,118,9999,613
