CUSTOMERID,CREDITSCORE,GEOGRAPHY,GENDER,AGE,TENURE,BALANCE,NUMOFPRODUCTS,HASCRCARD,ISACTIVEMEMBER,ESTIMATEDSALARY,EXITED,TRANSACTIONTIMESTAMP,DEBTTOINCOME
1,370,France,Male,55,9,91944.03,1,1,1,35247.39763296773,0,2025-01-11 21:23:37,23
2,710,Spain,Male,59,8,126536.56,2,0,0,38264.36080802953,0,2025-01-19 12:02:37,80
3,524,France,Male,54,7,191357.66,2,1,1,37813.213847486215,1,2025-02-02 22:33:37,29
4,381,Spain,Female,73,3,125263.0,4,0,0,187990.1544914597,0,2025-01-30 20:17:37,24
5,331,Spain,Male,88,9,195626.75,4,0,1,13324.613519494962,0,2025-01-15 12:18:37,80
6,305,France,Male,72,7,28858.19,3,1,0,55905.3087558163,0,2025-01-25 05:34:37,95
7,382,Spain,Male,71,6,15990.69,3,1,0,221896.65815869713,1,2025-01-28 04:16:37,49
8,720,France,Male,39,4,39715.24,1,0,1,26395.374103261478,0,2025-01-25 03:18:37,76
9,504,Germany,Male,44,6,193003.03,3,1,1,18287.34669209592,0,2025-01-16 06:56:37,52
10,596,France,Female,64,6,189832.56,4,1,1,87647.73940059161,0,2025-02-01 22:27:37,56
11,728,France,Male,55,9,35341.95,4,1,1,37498.941094638205,0,2025-01-16 23:38:37,87
12,343,Germany,Female,56,1,7747.16,4,1,0,117315.45126942065,0,2025-01-29 18:21:37,42
13,625,France,Female,32,6,171320.48,2,1,0,74805.5263997348,0,2025-01-31 11:22:37,89
14,385,Spain,Female,83,2,213820.45,4,1,0,47997.96897306941,1,2025-02-01 17:09:37,26
15,409,France,Female,78,7,188526.92,5,1,0,197456.118896733,0,2025-02-03 16:45:37,38
16,594,France,Female,77,7,50699.75,1,0,1,87654.68511265954,0,2025-01-17 00:46:37,34
17,625,Germany,Male,25,8,145941.97,4,0,0,143171.48722241662,0,2025-01-29 04:31:37,51
18,773,France,Female,61,10,189341.43,1,0,1,200930.5952266352,0,2025-01-23 08:15:37,98
19,669,Spain,Female,60,3,63957.18,2,1,1,188728.16790183424,0,2025-01-13 08:12:37,78
20,675,France,Male,23,9,131930.2,2,0,1,86486.58842946329,0,2025-01-08 15:44:37,89
21,472,Spain,Female,44,2,78615.1,4,0,0,203936.1581732673,1,2025-01-30 10:20:37,89
22,528,Spain,Male,62,8,56393.85,4,0,0,169558.5568075998,0,2025-01-25 03:14:37,25
